x, y
37430414383.35232, 1012.7821845332746
37655075400.888176, 1496.4874025706215
37655075400.888176, 2168.977409605906
37569654790.859344, 3165.695635641322
37489825681.135025, 4652.81444902148
37712134771.085075, 6932.850761810369
37621154063.381485, 11128.209844625015
37829229766.34497, 16362.32642401212
37912517649.83184, 27244.0408538872
38151070791.77097, 43809.1194795355
38434061046.479385, 72504.17021802391
38898226118.44755, 129505.16808179788
39291442066.71565, 200782.05887319002
40414874473.038506, 300627.77100972756
41407394205.54968, 394724.91655927454
42794487558.07665, 480053.6675929939
44339781488.3598, 596900.8207785173
46653549891.042244, 697632.705617039
49623589668.92345, 814984.3504113961
54137515475.53182, 944634.6448800177
58612330582.77156, 1055166.296780451
65622977264.48603, 1210805.9174608132
82384830440.1027, 1510234.3931448397
105857418712.34442, 1861668.2061847942
140108573859.36893, 2179025.05344664
180879636081.54926, 2526007.530967466
239802398883.1479, 2876900.4250259316
305933826626.3862, 3219087.5746294046
399772504814.79297, 3652871.6713490277
528989269169.34186, 4178043.8702711295
693291666315.741, 4850435.106340493
905650726920.6857, 6054760.945599129